"species","scientificName","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","year","month","country","countryCode","class","locality","occurrenceStatus","basisOfRecord","institutionCode","gbifRegion","phylum","family"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",54.400249,-2.964428,18,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",53.254033,-3.130944,5,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",56.56607,-3.586463,3,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",53.315619,-1.915918,2,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",51.130722,-2.994387,8513,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",53.824271,-1.646285,31,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",54.806785,-1.557484,373,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",56.137595,-4.903852,3,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",53.228605,-1.606081,31,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",57.141181,-3.674697,NA,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",52.296304,1.40325,175,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",51.529228,-0.161083,4,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",51.745411,-3.193285,16,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",55.826788,-4.314983,3,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",51.745411,-3.193285,16,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",54.489365,-0.615096,6,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",52.793034,1.145921,26004,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",51.745134,-0.337754,4,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",52.592916,-1.698468,NA,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",51.542022,-2.964797,8,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",52.744132,1.035641,26004,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",52.413722,-1.941351,91,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",53.069611,-2.271514,13,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",52.918363,-0.659402,295,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",51.548004,0.444068,NA,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",55.946137,-4.283411,4,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",53.369047,-2.853687,1,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",52.620718,-1.393003,8,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",53.627568,-2.117893,2,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",53.418323,-1.750288,280,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",51.435108,-0.992453,6,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
